No.,,,Name,FED,Rtg
1,            ,GM,Nakamura Hikaru ,USA,2879
2,            ,GM,Karjakin Sergey ,RUS,2866
3,            ,GM,Aronian Levon ,ARM,2863
4,            ,GM,Carlsen Magnus ,NOR,2837
5,            ,GM,Vachier-Lagrave Maxime ,FRA,2835
6,            ,GM,Anand Viswanathan ,IND,2827
7,            ,GM,Mamedyarov Shakhriyar ,AZE,2822
8,            ,GM,Le Quang Liem ,VIE,2817
9,            ,GM,Nepomniachtchi Ian ,RUS,2816
10,            ,GM,Grischuk Alexander ,RUS,2801
11,            ,GM,Yu Yangyi ,CHN,2771
12,            ,GM,Mamedov Rauf ,AZE,2766
13,            ,GM,Korobov Anton ,UKR,2758
14,            ,GM,Svidler Peter ,RUS,2757
15,            ,GM,Nguyen Ngoc Truong Son ,VIE,2746
16,            ,GM,Bacrot Etienne ,FRA,2744
17,            ,GM,Morozevich Alexander ,RUS,2741
18,            ,GM,Movsesian Sergei ,ARM,2730
19,            ,GM,Tkachiev Vladislav ,FRA,2730
20,            ,GM,Dubov Daniil ,RUS,2729
21,            ,GM,Wojtaszek Radoslaw ,POL,2726
22,            ,GM,Tomashevsky Evgeny ,RUS,2725
23,            ,GM,Iturrizaga Bonelli Eduardo ,VEN,2722
24,            ,GM,Efimenko Zahar ,UKR,2714
25,            ,GM,Najer Evgeniy ,RUS,2707
26,            ,GM,Radjabov Teimour ,AZE,2706
27,            ,GM,Fressinet Laurent ,FRA,2705
28,            ,GM,Riazantsev Alexander ,RUS,2703
29,            ,GM,Dreev Aleksey ,RUS,2701
30,            ,GM,Malakhov Vladimir ,RUS,2700
31,            ,GM,Caruana Fabiano ,ITA,2697
32,            ,GM,Sargissian Gabriel ,ARM,2689
33,            ,GM,Savchenko Boris ,RUS,2684
34,            ,GM,Eljanov Pavel ,UKR,2674
35,            ,GM,Vitiugov Nikita ,RUS,2674
36,            ,GM,Polgar Judit ,HUN,2673
37,            ,GM,Harikrishna P. ,IND,2669
38,            ,GM,Zhigalko Sergei ,BLR,2669
39,            ,GM,Lu Shanglei ,CHN,2668
40,            ,GM,Wang Hao ,CHN,2668
41,            ,GM,Amin Bassem ,EGY,2667
42,            ,GM,Mchedlishvili Mikheil ,GEO,2663
43,            ,GM,Meier Georg ,GER,2663
44,            ,GM,Safarli Eltaj ,AZE,2661
45,            ,GM,Guseinov Gadir ,AZE,2657
46,            ,GM,Inarkiev Ernesto ,RUS,2657
47,            ,GM,Kasimdzhanov Rustam ,UZB,2657
48,            ,GM,Nielsen Peter Heine ,DEN,2654
49,            ,GM,Laznicka Viktor ,CZE,2650
50,            ,GM,Van Wely Loek ,NED,2647
51,            ,GM,Naiditsch Arkadij ,GER,2643
52,            ,GM,Georgiev Kiril ,BUL,2639
53,            ,GM,Lenic Luka ,SLO,2639
54,            ,GM,Volokitin Andrei ,UKR,2638
55,            ,GM,Cheparinov Ivan ,BUL,2636
56,            ,GM,Bologan Viktor ,MDA,2635
57,            ,GM,Andriasian Zaven ,ARM,2633
58,            ,GM,Goloshchapov Alexander ,UKR,2631
59,            ,GM,Ipatov Alexander ,TUR,2629
60,            ,GM,Potkin Vladimir ,RUS,2629
61,            ,GM,Fedoseev Vladimir ,RUS,2628
62,            ,GM,Jobava Baadur ,GEO,2628
63,            ,GM,Kryvoruchko Yuriy ,UKR,2628
64,            ,GM,Vallejo Pons Francisco ,ESP,2628
65,            ,GM,Ganguly Surya Shekhar ,IND,2624
66,            ,GM,Milov Vadim ,SUI,2622
67,            ,GM,Matlakov Maxim ,RUS,2618
68,            ,GM,Gundavaa Bayarsaikhan ,MGL,2616
69,            ,GM,Moiseenko Alexander ,UKR,2614
70,            ,GM,Durarbayli Vasif ,AZE,2613
71,            ,GM,Adly Ahmed ,EGY,2610
72,            ,GM,Maletin Pavel ,RUS,2607
73,            ,GM,Sandipan Chanda ,IND,2607
74,            ,GM,Moradiabadi Elshan ,IRI,2599
75,            ,GM,Michalik Peter ,SVK,2587
76,            ,GM,Ragger Markus ,AUT,2587
77,            ,GM,Sokolov Ivan ,NED,2583
78,            ,GM,Anton Guijarro David ,ESP,2581
79,            ,GM,Fier Alexandr ,BRA,2581
80,            ,GM,Ghaem Maghami Ehsan ,IRI,2581
81,            ,GM,Hansen Eric ,CAN,2576
82,            ,GM,Aleksandrov Aleksej ,BLR,2572
83,            ,GM,Onischuk Vladimir ,UKR,2565
84,            ,GM,Bartel Mateusz ,POL,2562
85,            ,GM,Al-Modiahki Mohamad ,QAT,2559
86,            ,GM,Yudin Sergei ,RUS,2559
87,            ,GM,Kovalev Vladislav ,BLR,2548
88,            ,GM,Salgado Lopez Ivan ,ESP,2540
89,            ,GM,Salem A.R. Saleh ,UAE,2539
90,            ,GM,Glek Igor ,GER,2523
91,            ,GM,Ehlvest Jaan ,USA,2512
92,            ,GM,Kayumov Sergey ,UZB,2511
